SFPUC Code,Facility,Notes,Dpt.,General Building Category,Facility Type,ENERGY STAR Bldg Type,Year Built,Year Renov.,2013 Building Area (sq. ft.),2013 Site EUI (kBtu/sq.ft.),2013 ENERGY STAR rating
1330,Chinatown Child Development Center,,DPH,Health & Human Services,mental health center,Medical Office,1950,1985,9250,30,81
1456,Mission Mental Health Services,,DPH,Health & Human Services,mental health center,Medical Office,1943,2002,32000,23,93
1956,Redwood Center,"Not qualified for ENERGY STAR rating for dormitories, due to inadequate number of rooms.",DPH,Health & Human Services,mental health center,Other,1939,,11000,10.6,N.Q.
743,Animal Shelter,,ACC,Health & Human Services,veterinarian,Other,1931,1989,29500,234.2,N/A
192,San Francisco General Hospital,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,DPH,Hospitals,hospital,Hospital,1915,1976,1370904,376.6,N/A
191,Laguna Honda Hospital,"Not qualified for ENERGY STAR rating for hospitals. As a long-term care facility, Laguna Honda Hospital is not eligible for the hospital category. The square footage listed includes the new hospital buildings as of 2010 plus the square footage of old wings A, B, C, and H. The total excludes 120,000 square feet under remodel in buildings K, L, M, and O, which will be reoccupied in future years.",DPH,Hospitals,hospital,Hospital,1926,2010,717126,219.1,N.Q.
1892,Temp Sewer Operations Office,"Not qualified for ENERGY STAR rating, due to small size.",SFPUC,Offices,office,General Office,2000,,2500,149.8,N.Q.
474,Hall of Justice,"Not qualified for ENERGY STAR rating, due to more than 10% of the mixed-use facility being classified as “Other” space type.",RED,Offices,office,General Office,1959,,700000,126.2,N.Q.
1402,SFUSD -- Administration - Franklin,Facility operations data required for ENERGY STAR rating is unavailable at time of report publication.,SFUSD,Offices,Office,,1976,,78028,125.2,N/A
20001,Moccasin Administration Building,"The ENERGY STAR rating of the Moccasin Administration Building assumes on-site energy generation. Located at the site of the SFPUC’s Moccasin Powerhouse in Moccasin, California, the all-electric facility obtains its energy from hydropower resources in the immediate vicinity. Therefore, the conversion and transmission losses of a typical facility are not applicable.",SFPUC,Offices,office,General Office,,,12241,113.1,66
754,GGP -- McLaren Lodge and Annex,,RPD,Offices,office,General Office,1896,1950,17252,101.7,53
1324,Enforcement Division,,SFMTA,Offices,office,General Office,1920,,8000,99.1,38
1815,SFUSD -- 3045 Santiago Admin Building,,SFUSD,Offices,office,General Office,1954,,15334,94.2,N/A
174,DPH Central Office,"(2) Bill Graham Civic Auditorium and DPH Central Office receive steam from the Civic Center steam loop that is unmetered at individual facility level. For purposes of this report, the metered use at the steam loop is apportioned based on each building’s square footage, but may be over reported here due to leaks and other losses in the steam loop itself. A steam meter was installed at City Hall at the beginning of 2012.",DPH,Offices,office,General Office,1932,,119000,90.6,N.Q.
793,CHN Headquarters,,DPH,Offices,office,General Office,1923,1993,60000,85.3,55
1124,SFUSD -- Academics and Professional Development,Facility operations data required for ENERGY STAR rating is unavailable at time of report publication.,SFUSD,Offices,,,1973,,23400,82.2,N/A
1404,Sheriff Training Facility,,SHF,Offices,office,General Office,1963,2002,19057,75.7,24
1150,1660 Mission St,,RED,Offices,office,General Office,1990,,90619,74.5,48
1973,GGP -- Park Aid Station / Natural Areas Program,"This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013. Not qualified for ENERGY STAR rating, due to small size.",RPD,Offices,office,,1902,2012,2733,74.1,N.Q.
471,Women's Resource Center,,SHF,Offices,office,General Office,1959,,5920,69.2,30
779,1680 Mission St,,DPW,Offices,office,General Office,1923,,41200,69,79
808,30 Van Ness Ave,,RED,Offices,office,General Office,1965,,180939,67.8,63
717,SFUSD -- Children's Center Administration Building,Facility operations data required for ENERGY STAR rating is unavailable at time of report publication.,SFUSD,Offices,Office,,1930,,20000,66.6,N/A
77,SFUSD -- Student Nutrition Services,Facility operations data required for ENERGY STAR rating is unavailable at time of report publication.,SFUSD,Offices,office,,1932,,9900,66.6,N/A
91,Human Services Agency Headquarters,,HSA,Offices,office,General Office,1979,,171385,64,74
70,Investigations -- 160 South Van Ness,,HSA,Offices,office,General Office,1936,2002,14219,63.7,61
1378,SFFD - Headquarters,,SFFD,Offices,emergency center,General Office,1912,1999,50000,61.4,71
1703,SFUSD -- School Health Programs,Facility operations data required for ENERGY STAR rating is unavailable at time of report publication.,SFUSD,Offices,office,,1950,,13900,58.7,N/A
832,Social Services -- 1235 Mission,,HSA,Offices,office,General Office,1935,,124219,56.6,85
1429,Library Support Services Building,,SFPL,Offices,office,General Office,1925,2001,43182,55.5,82
1992,SFPUC -- 525 Golden Gate Ave,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFPUC,Offices,office,General Office,2012,,277511,53.7,90
1339,Former Gloria R Davis Middle,,SFUSD,Offices,Office,,1976,,60700,52.9,N/A
813,25 Van Ness Ave,,RED,Offices,office,General Office,1913,1985,130000,51,77
1886,One South Van Ness (OSVN),,RED,Offices,office,General Office,1959,1989,655000,46.1,86
425,CCSF -- Administrative Offices,Facility operations data required for ENERGY STAR rating is unavailable at time of report publication.,CCSF,Offices,office,General Office,1949,1971,50521,45.7,N/A
472,City Hall,,RED,Offices,office,General Office,1915,2000,516484,44.2,91
88,MediCal -- 1440 Harrison,,HSA,Offices,office,General Office,1921,,52200,43.1,94
1338,1155 Market St,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RED,Offices,office,General Office,1983,,158998,42.4,N/A
1132,SFUSD -- Irving M Scott Building,,SFUSD,Offices,office,General Office,1895,,12300,40.8,N/A
1343,Seneca First Stop Visit Cntr/Workforce Development,,HSA,Offices,office,General Office,1947,,8100,40.6,72
1927,Airport Reprographics,,SFO,Offices,office,General Office,1967,,6000,39.6,41
715,Public Defender's Office,,RED,Offices,office,General Office,1985,,52000,32.3,90
1066,SFUSD -- Administration - Van Ness,Facility operations data required for ENERGY STAR rating is unavailable at time of report publication.,SFUSD,Offices,Office,,1927,,241956,22.7,N/A
1998,Bayside Office Space and Warehouse,,SFPUC,Offices,office,,1978,,50593,11,N.Q.
202,35/45 Onondaga Building,"This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013. Not qualified for ENERGY STAR rating, due to lack of full-time occupants.",DPH,Offices,office,General Office,1928,1932,8747,6,N.Q.
1918,Community Justice Center,,DPH,Offices,courthouse,Courthouse,1913,,18430,59.7,67
1379,Fire Station 35 (Fire Boat House),,SFFD,Public Safety,fire station,Other,1908,1994,4712,198.4,N/A
41,Fire Station 34,,SFFD,Public Safety,fire station,Other,1929,1998,4400,140.4,N/A
30,Fire Station 22,,SFFD,Public Safety,fire station,Other,1962,,5900,130.4,N/A
28,Fire Station 20,,SFFD,Public Safety,fire station,Other,1963,1997,10300,109.9,N/A
51,Fire Station 43,,SFFD,Public Safety,fire station,Other,1970,1995,10800,108.3,N/A
35,Fire Station 29,,SFFD,Public Safety,fire station,Other,1956,1996,8300,104.7,N/A
38,Fire Station 31,,SFFD,Public Safety,fire station,Other,1913,,8500,103.2,N/A
2007,Fire Fighting Training Center - Treasure Island,,SFFD,Public Safety,fire station,Other,,,5040,101.8,N/A
23,Fire Station 16,,SFFD,Public Safety,fire station,Other,1938,1998,14000,97.3,N/A
26,Fire Station 19,,SFFD,Public Safety,fire station,Other,1951,1998,11500,97.1,N/A
18,Fire Station 11,,SFFD,Public Safety,fire station,Other,1956,1996,14000,93.9,N/A
24,Fire Station 05,,SFFD,Public Safety,fire station,Other,1954,1984,12600,93.6,N/A
22,Fire Station 15,,SFFD,Public Safety,fire station,Other,1957,1997,12138,91.9,N/A
53,Fire Station 06,,SFFD,Public Safety,fire station,Other,1948,1998,13500,90.6,N/A
29,Fire Station 21,,SFFD,Public Safety,fire station,Other,1958,1988,8000,90.5,N/A
20,Fire Station 13,,SFFD,Public Safety,fire station,Other,1974,1999,18790,88.3,N/A
17,Fire Station 10,,SFFD,Public Safety,fire station,Other,1956,,14300,84.3,N/A
52,Fire Station 17,,SFFD,Public Safety,fire station,Other,1955,1996,12100,81,N/A
56,Fire Station 07 / Division of Training,,SFFD,Public Safety,fire station,Other,1953,2003,33600,73.5,N/A
48,Fire Station 40,,SFFD,Public Safety,fire station,Other,1931,1995,7350,73.3,N/A
19,Fire Station 12,,SFFD,Public Safety,fire station,Other,1955,,11300,71.8,N/A
44,Fire Station 37,,SFFD,Public Safety,fire station,Other,1915,1990,6950,68,N/A
46,Fire Station 39,,SFFD,Public Safety,fire station,Other,1923,1998,8450,66.7,N/A
54,Fire Station 08,,SFFD,Public Safety,fire station,Other,1940,1994,8000,63.1,N/A
40,Fire Station 33,,SFFD,Public Safety,fire station,Other,1973,1998,5900,62.6,N/A
39,Fire Station 32,,SFFD,Public Safety,fire station,Other,1941,1991,10900,62.3,N/A
49,Fire Station 41,,SFFD,Public Safety,fire station,Other,1956,,9600,59.3,N/A
36,Fire Station 03,,SFFD,Public Safety,fire station,Other,1973,,8000,53.2,N/A
12,Fire Station 24,,SFFD,Public Safety,fire station,Other,1914,1997,7600,51.7,N/A
33,Fire Station 26,,SFFD,Public Safety,fire station,Other,1968,1997,15000,51.2,N/A
31,Fire Station 23,,SFFD,Public Safety,fire station,Other,1959,1996,12000,50.9,N/A
13,Fire Station 44,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFFD,Public Safety,fire station,Other,1915,1998,8450,50.3,N/A
32,Fire Station 25,,SFFD,Public Safety,fire station,Other,1916,,11420,50.3,N/A
43,Fire Station 36,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFFD,Public Safety,fire station,Other,1961,1996,16100,44.7,N/A
55,Fire Station 09,,SFFD,Public Safety,fire station,Other,1972,1995,21400,42.4,N/A
27,Fire Station 02,,SFFD,Public Safety,fire station,Other,1994,,16920,42,N/A
50,Fire Station 42,,SFFD,Public Safety,fire station,Other,1979,1998,9300,41.4,N/A
2019,Fire Station 01,"This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013. Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFFD,Public Safety,fire stations,Other,2013,,15136,37.4,N/A
21,Fire Station 14,,SFFD,Public Safety,fire station,Other,1973,,15900,35.8,N/A
25,Fire Station 18,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",SFFD,Public Safety,fire station,Other,1951,1997,15900,31.1,N/A
2006,Fire Station 48 - Treasure Island,,SFFD,Public Safety,fire station,Other,,,15000,30.4,N/A
42,Old Fire Station 01,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFFD,Public Safety,fire station,Other,1953,1992,14100,29.3,N/A
1170,Fire Station 49,,SFFD,Public Safety,fire station,Other,1958,2002,75000,12.7,N/A
73,Central Police Station,,SFPD,Public Safety,police station,Other,1970,,8000,130.5,N/A
74,Ingleside Police Station,,SFPD,Public Safety,police station,Other,1910,1990,18500,122.7,N/A
78,Park Police Station,,SFPD,Public Safety,police station,Other,1910,1993,13700,112.2,N/A
1213,Bayview Police Station,,SFPD,Public Safety,police station,Other,1996,,16000,90.7,N/A
1924,SFPD Tactical Company,,SFPD,Public Safety,police station,Other,1941,2009,52125,79.4,N/A
811,Mission Police Station,,SFPD,Public Safety,police station,Other,1994,,25000,76.8,N/A
712,Northern Police Station,,SFPD,Public Safety,police station,Other,1988,1987,18000,74.3,N/A
87,Taraval Police Station,,SFPD,Public Safety,police station,Other,1929,1994,18070,71.1,N/A
84,Richmond Police Station,,SFPD,Public Safety,police station,Other,1910,1993,13000,60.5,N/A
791,Tenderloin Police Station,,SFPD,Public Safety,police station,Other,2000,,27500,44.8,N/A
1336,Emergency Operations Center,,DEM,Public Safety,emergency center,Other,1998,2010,56000,210.1,N/A
92,"San Francisco County Jail, San Bruno Facility",,SHF,Public Safety,jail / correctional,Other,1934,2006,348202,133.6,N/A
94,Youth Guidance Center,,JUV,Public Safety,jail / correctional,Other,1950,2006,210000,128,N/A
1205,County Jail #1 & #2,,SHF,Public Safety,jail / correctional,Other,1994,,250000,41.4,N/A
388,South Sunset Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1949,,1500,232.3,N/A
1704,Sandy Tatum Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,2005,,20000,195.4,N/A
408,Youngblood Coleman Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1960,,2135,147.8,N/A
337,Laurel Hill Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1953,,1134,147.1,N/A
327,James Rolph Jr Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1921,2008,2730,120.5,N/A
401,Visitacion Valley Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,2003,,2600,98.7,N/A
346,Merced Heights Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1950,,1136,96.9,N/A
1141,GGP -- Golf Course Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1951,,2470,92.3,N/A
567,Helen Wills Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,2005,,3082,91.5,N/A
411,Lincoln Park Golf Course,,RPD,Recreation Facilities,clubhouse,Other,1936,,6329,85.8,N/A
306,Jose Coronado Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1995,,933,79.4,N/A
394,GGP -- Stow Lake Boathouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,clubhouse,Other,1945,,4647,78.4,N/A
275,Argonne Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,2006,,1000,75.5,N/A
316,Hayes Valley Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,2011,,2500,71.8,N/A
307,Fulton Clubhouse and Playground,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,clubhouse,Other,1955,2012,1420,71.7,N/A
386,Silver Terrace Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1953,,7842,61.4,N/A
344,Mccoppin Square Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1955,,2000,54.7,N/A
325,Jackson Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1912,,8060,51.4,N/A
347,Midtown Terrace Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1961,,2176,50.4,N/A
1446,Parque Ninos Unidos Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,2004,,2414,50.1,N/A
561,Gilman Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1969,,1578,50,N/A
341,Margaret S Hayward Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1922,,6717,48,N/A
289,Christopher Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1971,,2337,41.2,N/A
372,Wawona Clubhouse (Project Insight),,RPD,Recreation Facilities,clubhouse,Other,1950,,1830,39.3,N/A
284,Cayuga Clubhouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,clubhouse,Other,2013,,2500,38.6,N/A
371,Peixotto Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1955,,2000,30,N/A
304,Excelsior Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1928,,2255,28.7,N/A
730,Sunnyside Conservatory,,RPD,Recreation Facilities,clubhouse,Other,1900,2009,1536,27,N/A
380,Richmond Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1916,,1200,26.2,N/A
397,Sunnyside Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1969,,4412,25.5,N/A
348,Cow Hollow Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1950,,675,23.4,N/A
362,J. P. Murphy Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1950,2008,1820,23,N/A
385,Sigmund Stern Grove / Trocadero Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1930,2005,12832,22.6,N/A
381,Rochambeau Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,2004,,1482,22.1,N/A
301,Douglas Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1926,,1072,22.1,N/A
312,Grattan Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1949,,1854,20.6,N/A
402,West Portal Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,2004,,2728,20.2,N/A
324,Julius Kahn Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1922,,1105,20.1,N/A
1311,Woh Hei Yuen Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1997,,5000,19.3,N/A
355,Miraloma Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1949,,1352,17.4,N/A
283,Cabrillo Clubhouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,clubhouse,Other,1931,2013,1420,17.1,N/A
731,Boeddeker Park and Clubhouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,clubhouse,Other,1989,,3740,14.7,N/A
329,Junipero Serra Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1955,2008,1700,14.7,N/A
777,Alice Chalmers Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1951,,2505,11.7,N/A
377,Presidio Heights Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1910,,958,11.7,N/A
287,Willie Woo Woo Wong Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1927,,6000,11.5,N/A
405,West Sunset Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1953,,13530,9.7,N/A
335,Lake Merced Boathouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,park building,Other,1958,2013,15200,7.9,N/A
1699,Pine Lake Park Clubhouse,,RPD,Recreation Facilities,clubhouse,Other,1950,,1242,7.4,N/A
299,Crocker Amazon Clubhouse and Playground,,RPD,Recreation Facilities,clubhouse,Other,1955,1982,24040,7.1,N/A
308,Moscone Rec Center,,RPD,Recreation Facilities,recreation center,Other,1924,2008,9650,131.5,N/A
303,Eureka Valley Rec Center,,RPD,Recreation Facilities,recreation center,Other,1951,2004,17880,106.9,N/A
328,Joseph Lee Rec Center,,RPD,Recreation Facilities,recreation center,Other,1950,2007,16383,91.4,N/A
375,Potrero Hill Rec Center,,RPD,Recreation Facilities,recreation center,Other,1950,,18805,77.5,N/A
366,Minnie & Lovie Ward Rec Center,,RPD,Recreation Facilities,recreation center,Other,2007,2008,19461,70.2,N/A
1439,Richmond Rec Center,,RPD,Recreation Facilities,recreation center,Other,2000,,18470,67.2,N/A
392,St. Mary's Rec Center and Playground,,RPD,Recreation Facilities,recreation center,Other,1949,,23307,59.6,N/A
314,GGP -- County Fair Building/Hall Of Flowers,,RPD,Recreation Facilities,recreation center,Other,1961,1969,23477,58.8,N/A
400,Upper Noe Rec Center,,RPD,Recreation Facilities,recreation center,Other,1950,2006,16447,58.5,N/A
1172,Tenderloin Rec Center,,RPD,Recreation Facilities,recreation center,Other,1995,,10133,48.6,N/A
398,Sunset Rec Center,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,recreation center,Other,1940,2012,16424,48,N/A
279,Bernal Heights Rec Center,,RPD,Recreation Facilities,recreation center,Other,1932,,5008,42,N/A
356,Mission Rec Center / Mission Arts Center,,RPD,Recreation Facilities,recreation center,Other,1984,2012,30850,40.3,N/A
288,Betty Ann Ong Chinese Rec Center,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,recreation center,Other,1951,2012,24234,34.5,N/A
359,GGP -- Model Yacht Clubhouse,"Facilities in Golden Gate Park, in cases where electrical meters specific to the facility cannot be located.",RPD,Recreation Facilities,recreation center,Other,1938,,3168,32.4,N/A
755,Gene Friend Rec Center @ SOMA,,RPD,Recreation Facilities,recreation center,Other,1989,,16354,19.6,N/A
1139,GGP -- Kezar Pavilion,,RPD,Recreation Facilities,recreation center,Other,1925,,24254,16.8,N/A
387,Glen Park Rec Center / Glenridge Nursery School,,RPD,Recreation Facilities,recreation center,Other,1934,,22301,14,N/A
373,Palega Rec Center,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,recreation center,Other,1928,2012,18397,7.5,N/A
382,Rossi Swimming Pool and Playground,,RPD,Recreation Facilities,pool,Other,1958,,15162,433.3,N/A
336,Charlie Sava Swimming Pool / Larsen Park,,RPD,Recreation Facilities,pool,Other,1957,2008,12900,433.1,N/A
701,Coffman Pool / Herz Clubhouse and Playground,,RPD,Recreation Facilities,pool,Other,1957,2008,12289,378.2,N/A
310,Garfield Pool and Garfield Square Clubhouse,,RPD,Recreation Facilities,pool,Other,1958,,21160,247,N/A
365,North Beach Swimming Pool/Joe DiMaggio Playground,,RPD,Recreation Facilities,pool,Other,2004,2006,16384,240.5,N/A
343,Martin Luther King Jr Swimming Pool,,RPD,Recreation Facilities,pool,Other,2001,,23851,222.4,N/A
358,Mission Community Pool / Clubhouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,RPD,Recreation Facilities,pool,Other,1916,2012,8500,143.6,N/A
315,Hamilton Rec Center and Pool,,RPD,Recreation Facilities,pool,Other,1953,2010,16988,122.4,N/A
703,Balboa Swimming Pool,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",RPD,Recreation Facilities,pool,Other,1962,,19000,32.4,N/A
391,GGP -- Murphy Millwright's Cottage,,RPD,Recreation Facilities,park building,Other,1904,2011,2960,617.9,N/A
409,SF Zoo,,RPD,Recreation Facilities,zoo,Other,1930,,65799,356.4,N/A
331,GGP -- Kezar Stadium,,RPD,Recreation Facilities,stadium,Other,1924,,5000,280.1,N/A
1299,GGP -- Beach Chalet and Visitor Center,,RPD,Recreation Facilities,restaurant,Other,1925,1996,18045,236.4,N/A
363,GGP -- Music Concourse,,RPD,Recreation Facilities,park building,Other,1900,,5095,125.7,N/A
81,SFPD Stables,,SFPD,Recreation Facilities,park building,Other,1935,,11800,72.8,N/A
272,GGP -- Dutch Windmill,,RPD,Recreation Facilities,park building,Other,1902,,2500,54.8,N/A
79,SFPD Pistol Range,,SFPD,Recreation Facilities,park building,Other,1942,1989,10000,53.9,N/A
410,Candlestick Park Stadium,,RPD,Recreation Facilities,stadium,Other,1960,,500000,41.3,N/A
1326,GGP -- Pioneer Log Cabin,,RPD,Recreation Facilities,park building,Other,1911,1931,2256,36.1,N/A
1916,Camp Ida Smith,,SFPUC,Recreation Facilities,camp,Other,,,1200,11.5,N/A
278,GGP -- Bercut Equitation Field,,RPD,Recreation Facilities,park building,Other,1930,,20632,11.3,N/A
1383,Fay House,,RPD,Recreation Facilities,park building,Other,1912,,4536,1.2,N/A
298,GGP -- Maintenance Yard and Nursery,,RPD,"Service, Repair, and Storage",corporation yard,Other,1957,,43947,223.2,N/A
696,H. Hetchy-Warnerville Substation/Switchyard,,SFPUC,"Service, Repair, and Storage",corporation yard,Other,,,1835,216.1,N/A
505,Kirkland Division - Motor Coach,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1949,,9352,166.1,N/A
506,Cable Car Barn and Power House,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1906,1984,83741,160.8,N/A
1900,Metro East Facility - LRV,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,2008,,180000,144.1,N/A
571,Millbrae Yard,,SFPUC,"Service, Repair, and Storage",corporation yard,Other,,,60045,129.8,N/A
572,City Distribution Division,,SFPUC,"Service, Repair, and Storage",corporation yard,Other,,,67500,119.6,N/A
530,Cameron Beach (Geneva) Yard - LRV and Streetcar,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1984,,31514,117.1,N/A
516,Woods Division - Motor Coach,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1976,,161719,100.3,N/A
1702,Green Division and Annex - LRV,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1977,1983,208371,66.7,N/A
778,Islais Creek - Motor Coach,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFMTA,"Service, Repair, and Storage",corporation yard,Other,2013,,16200,66.5,N/A
553,Potrero Division - Trolley Coach,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1914,1990,101510,63.9,N/A
523,Flynn Division - Motor Coach,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1941,1989,268947,57.5,N/A
98,Old DT Corporation Yard,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,DT,"Service, Repair, and Storage",corporation yard,Other,1950,,45000,54.7,N/A
107,Hall of Justice Gas Station,,GSA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1959,,4360,54.2,N/A
1708,South Forks Maintenance Yard,,SFPUC,"Service, Repair, and Storage",corporation yard,Other,,,2900,52.5,N/A
1393,1399 Marin - Maintenance Facility,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1972,,25100,51.7,N/A
515,Presidio Division - Trolley Coach,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1912,,158381,49.2,N/A
1468,Central Shops,,GSA,"Service, Repair, and Storage",corporation yard,Other,1959,,80577,48.6,N/A
585,Sunol Yard,,SFPUC,"Service, Repair, and Storage",corporation yard,Other,,,12095,44.6,N/A
111,DPW -- Corporation Yard,,DPW,"Service, Repair, and Storage",corporation yard,Other,1949,,102764,40.8,N/A
396,GGP -- San Francisco Botanical Garden,"Facilities in Golden Gate Park, in cases where electrical meters specific to the facility cannot be located.",RPD,"Service, Repair, and Storage",corporation yard,Other,1955,,29763,35.6,N/A
744,Scott Division,,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,1990,,116144,16.7,N/A
2035,Bayshore Yard and Shop,This location was under construction or vacant for an extended period of time during a portion of calendar years 2012 or 2013.,SFMTA,"Service, Repair, and Storage",gas station/vehicle repair,Other,,,255420,8.9,N/A
8,SFFD - Bureau of Equipment,,SFFD,"Service, Repair, and Storage",shop,Other,1918,,7000,65.3,N/A
2012,ReproMail,,RED,"Service, Repair, and Storage",shop,Other,1935,,10469,55.8,N/A
1032,SFUSD -- Buildings and Grounds,,SFUSD,"Service, Repair, and Storage",Shop,,1968,,40000,50.5,N/A
1290,700 Pennsylvania - Maintenance of Way,,SFMTA,"Service, Repair, and Storage",shop,Other,1947,2000,99383,35.5,N/A
1964,Sustainable Streets Division,,SFMTA,"Service, Repair, and Storage",shop,Other,1999,,90000,17.1,N/A
1292,1401 Bryant - Overhead Lines,,SFMTA,"Service, Repair, and Storage",shop,Other,1897,1979,46000,13.6,N/A
124,Paint Shop and Vehicle Parking,,SFMTA,"Service, Repair, and Storage",shop,Other,1958,,35021,4.2,N/A
1031,SFUSD -- Warehouse/Transportation,Facility operations data required for ENERGY STAR rating is unavailable at time of report publication.,SFUSD,"Service, Repair, and Storage",Warehouse,,1946,,132000,22.4,N/A
1929,651 Bryant - Power Utility Services,,SFPUC,"Service, Repair, and Storage",warehouse,Warehouse,1954,,14000,19.6,83
756,Streetlight Warehouse,"Not qualified for ENERGY STAR rating, due to lack of full-time occupants.",SFPUC,"Service, Repair, and Storage",warehouse,Warehouse,1988,,6400,14.4,N.Q.
103,Brooks Hall,"Not qualified for ENERGY STAR rating, due to lack of full-time occupants.",RED,"Service, Repair, and Storage",warehouse,Warehouse,1956,,90000,13.3,N.Q.
1873,Burke Avenue Facility - Central Warehouse,,SFMTA,"Service, Repair, and Storage",warehouse,Warehouse,1969,,103231,12.5,42
1222,Fine Arts Warehouse,,FAMSF,"Service, Repair, and Storage",warehouse,Warehouse,1983,,27440,6.2,73
